Name,Natl Rank,Bank ID,Bank Location,Charter,Consolidated Assets,Domestic Assets,Percentage Domestic Assets,Percentage Cumulative Assets,Domestic Branches,Foreign Branches,IBF,Percentage Foreign Owned,Percentage of Total Cosolidated Assets,Date,Quarter
STATE BK FNCL/FIRST BC,1595.0,2631172,"LA CROSSE, WI",SMB,315000000.0,315000000.0,1.0,1.0,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
MACON B&TC/MACON BANCTRUST,1596.0,709639,"LAFAYETTE, TN",SNM,315000000.0,315000000.0,1.0,1.0,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST CITIZENS BK/FARMERS CAPITAL BK CORP,1597.0,786742,"ELIZABETHTOWN, KY",SMB,315000000.0,315000000.0,1.0,1.0,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
F&M BK/WASHINGTON/WILKES HC,1598.0,510330,"WASHINGTON, GA",SNM,315000000.0,315000000.0,1.0,1.0,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST NB FOX VALLEY/FIRST MENASHA BSHRS,1599.0,675949,"NEENAH, WI",NAT,315000000.0,315000000.0,1.0,1.0,3.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
COMMUNITY BK OF BERGEN CTY/,1600.0,275509,"MAYWOOD, NJ",SMB,314000000.0,314000000.0,1.0,1.0,2.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FREMONT NB&TC/LAURITZEN CORP,1601.0,264558,"FREMONT, NE",NAT,314000000.0,314000000.0,1.0,1.0,3.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
MERCER CTY ST BK/MERCER CTY ST BC,1602.0,866121,"SANDY LAKE, PA",SNM,314000000.0,314000000.0,1.0,1.0,9.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
SANTA CRUZ CTY BK/,1603.0,3235410,"SANTA CRUZ, CA",SNM,314000000.0,314000000.0,1.0,1.0,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
INTERNATIONAL BK/RATON CAP CORP,1604.0,209858,"RATON, NM",SNM,314000000.0,314000000.0,1.0,1.0,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
WEST TX ST BK/WEST TX BSHRS,1605.0,167864,"ODESSA, TX",SNM,313000000.0,313000000.0,1.0,1.0,6.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FIRST COMMONWEALTH BK/FIRST PRESTONSBURG BSHRS,1606.0,511618,"PRESTONSBURG, KY",SNM,313000000.0,313000000.0,1.0,1.0,11.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
GULF COAST BK/GULF COAST BSHRS,1607.0,459130,"ABBEVILLE, LA",SNM,313000000.0,313000000.0,1.0,1.0,14.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
COUNTYBANK/TCB CORP,1608.0,271529,"GREENWOOD, SC",SNM,313000000.0,313000000.0,1.0,1.0,3.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
SECURITY FNCL BK/SECURITY FS CORP,1609.0,450959,"DURAND, WI",SMB,312000000.0,312000000.0,1.0,1.0,2.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
WOODLANDS BK/WOODLANDS FS CO,1610.0,1479470,"WILLIAMSPORT, PA",SMB,312000000.0,312000000.0,1.0,1.0,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
VENTURE BK/VENTURE BSHRS,1611.0,3049699,"BLOOMINGTON, MN",SNM,312000000.0,312000000.0,1.0,1.0,2.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
OZARK MNT BK/CENTRAL BANCOMPANY,1612.0,576541,"BRANSON, MO",SNM,311000000.0,311000000.0,1.0,1.0,5.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
FARMERS T&SB/EASTER ENT,1613.0,543945,"SPENCER, IA",SNM,311000000.0,311000000.0,1.0,1.0,0.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
AMERICAN ENT BK/A E BC,1614.0,2339535,"BUFFALO GROVE, IL",SNM,311000000.0,311000000.0,1.0,1.0,3.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
NATIONAL BK/COUNTRY BANCORP,1615.0,659341,"HILLSBORO, IL",NAT,310000000.0,310000000.0,1.0,1.0,12.0,0.0,N,0.0,0.0,2011-09-30,Q3-2011
